Link,Domain,Have_IP,Have_@,URL_Length,Domain_Length,URL_Depth,occurence_tirets,Redirection,Number_%,https_Domain,TinyURL,label
https://www.asianracing.org,asianracing.org,99.83.190.102,0,27,15,1,1,6,1,0,0,0
https://www.australianhiphopdirectory.com,australianhiphopdirectory.com,103.119.110.53,0,41,29,1,1,6,1,0,0,0
https://www.measat.com,measat.com,23.97.48.139,0,22,10,1,1,6,1,0,1,0
https://www.geo.uni-tuebingen.de,geo.uni-tuebingen.de,,0,32,20,1,2,6,1,0,0,0
https://www.oaklawn-il.gov,oaklawn-il.gov,135.84.124.41,0,26,14,1,2,6,1,0,0,0
https://www.leoferres.info,leoferres.info,162.241.216.116,0,26,14,1,1,6,1,0,0,0
https://www.ondemand.mtv.it,ondemand.mtv.it,34.213.106.51,0,27,15,1,1,6,1,0,0,0
https://www.kyokumen.jp,kyokumen.jp,160.16.69.242,0,23,11,1,1,6,1,0,0,0
https://www.bigtimer.net,bigtimer.net,69.167.171.239,0,24,12,1,1,6,1,0,0,0
https://www.astronomiainumbria.org,astronomiainumbria.org,116.202.118.107,0,34,22,1,1,6,1,0,0,0
https://www.wccapr.org,wccapr.org,87.236.16.171,0,22,10,1,1,6,1,0,0,0
https://www.elearning.wfh.org,elearning.wfh.org,104.26.13.185,0,29,17,1,1,6,1,0,0,0
https://www.maypang.com,maypang.com,35.197.227.153,0,23,11,1,1,6,1,0,0,0
https://www.prolampsales.com,prolampsales.com,23.227.38.32,0,28,16,1,1,6,1,0,0,0
https://www.edoc.mdc-berlin.de,edoc.mdc-berlin.de,141.80.181.51,0,30,18,1,2,6,1,0,0,0
https://www.neutrinos.llnl.gov,neutrinos.llnl.gov,104.18.4.245,0,30,18,1,1,6,1,0,0,0
https://www.topotami.gr,topotami.gr,168.119.201.8,0,23,11,1,1,6,1,0,0,0
https://www.selectourfuture.org,selectourfuture.org,157.7.107.51,0,31,19,1,1,6,1,0,0,0
https://www.blog.zulip.org,blog.zulip.org,54.174.240.138,0,26,14,1,1,6,1,0,0,0
https://www.ocw.kfupm.edu.sa,ocw.kfupm.edu.sa,212.26.1.85,0,28,16,1,1,6,1,0,0,0
https://www.somaca.e-monsite.com,somaca.e-monsite.com,212.83.158.152,0,32,20,1,2,6,1,0,0,0
https://www.notwithoutmypassport.com,notwithoutmypassport.com,108.167.155.116,0,36,24,1,1,6,1,0,1,0
https://www.t-shiga.com,t-shiga.com,95.216.161.60,0,23,11,1,2,6,1,0,0,0
https://www.lamer.lsu.edu,lamer.lsu.edu,130.39.6.220,0,25,13,1,1,6,1,0,0,0
https://www.en.finaly.org,en.finaly.org,147.83.91.172,0,25,13,1,1,6,1,0,0,0
https://www.lexphil.org,lexphil.org,198.185.159.145,0,23,11,1,1,6,1,0,0,0
